iteration,x0,x1
0,-1.5,-0.5
1,-2.4986876634765887,-0.4487852480268416
2,-3.348175018168471,-0.97639422655032
3,-3.9347762197777625,-1.786270161660467
4,-4.416854564422463,-2.6623982742242776
5,-4.3352330855588885,-3.0283106235903543
6,-3.691017866589275,-3.214148031981106
7,-3.7908901323815907,-3.368134472336302
8,-3.7798375917735756,-3.2796826226591973
9,-3.7792174892958346,-3.2830378506436677
10,-3.779315734400875,-3.2831891350446876
11,-3.7793102095531497,-3.2831860205166077
12,-3.77931025350306,-3.2831859907006664
13,-3.7793102533762215,-3.2831859912932915
14,-3.7793102533777656,-3.283185991286083
15,-3.779310253377747,-3.2831859912861705
16,-3.779310253377747,-3.2831859912861696
17,-3.779310253377747,-3.2831859912861696
18,-3.779310253377747,-3.2831859912861696
19,-3.779310253377747,-3.2831859912861696
20,-3.779310253377747,-3.2831859912861696
21,-3.779310253377747,-3.2831859912861696
22,-3.779310253377747,-3.2831859912861696
23,-3.779310253377747,-3.2831859912861696
24,-3.779310253377747,-3.2831859912861696
25,-3.779310253377747,-3.2831859912861696
26,-3.779310253377747,-3.2831859912861696
27,-3.779310253377747,-3.2831859912861696
28,-3.779310253377747,-3.2831859912861696
29,-3.779310253377747,-3.2831859912861696
30,-3.779310253377747,-3.2831859912861696
31,-3.779310253377747,-3.2831859912861696
32,-3.779310253377747,-3.2831859912861696
33,-3.779310253377747,-3.2831859912861696
